Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
123,69032052,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,11.1252668543,0.2317763928,4602136.8,14787188.355428,57956516,45331,68986547,9855221.0,21234031.4495497,58001924,989826,68986063,9855151.85714286,21234108.9465025,58002021,989193,0,0,0,0,-83885113,-83885113,0.1158881964,0.1158881964,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,-83885113,0,0,0,0,0,8,384,8,384,-1,-1,7,-83885313,11030031.0,0.0,11030031,11030031,57956516.0,0.0,57956516,57956516,BENIGN
443,15335,1,2,6,44,6,6,6.0,0.0,38,6,22.0,22.627416998,3260.5151613955,195.6309096837,7667.5,10843.4824894957,15335,0,0,0.0,0.0,0,0,15335,15335.0,0.0,15335,15335,0,0,0,0,20,40,65.2103032279,130.4206064558,6,38,14.0,16.0,256.0,1,0,0,0,1,0,0,0,2,18.6666666667,6.0,22.0,20,0,0,0,0,0,1,6,2,44,0,351,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49834,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,4494,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
52882,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,2,0,0,0,511,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
389,22040,13,11,5476,958,1536,0,421.2307692308,613.7110006409,210,0,87.0909090909,97.7644664952,291923.774954628,1088.9292196007,958.2608695652,4229.305920032,20351,2,22040,1836.6666666667,5863.5726517563,20442,2,21976,2197.6,6462.4962359757,20583,3,0,0,0,0,276,236,589.8366606171,499.0925589837,0,1536,257.36,472.118971588,222896.323333333,0,0,0,1,0,0,0,0,0,268.0833333333,421.2307692308,87.0909090909,276,0,0,0,0,0,13,5476,11,958,8192,0,11,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,1517062,9,8,660,5077,343,0,73.3333333333,123.2913216735,1908,0,634.625,816.9110700857,3781.6516398143,11.205870294,94816.375,140012.188950284,456573,7,1516954,189619.25,147203.233200856,456573,268,1258748,179821.142857143,235429.462753658,567511,88,0,0,0,0,296,264,5.9325195674,5.2733507266,0,1908,318.7222222222,605.6058517818,366758.447712418,0,0,0,1,0,0,0,0,0,337.4705882353,73.3333333333,634.625,296,0,0,0,0,0,9,660,8,5077,29200,59,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
37202,4,2,0,31,0,31,0,15.5,21.9203102168,0,0,0.0,0.0,7750000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,31,20.6666666667,17.8978583449,320.3333333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,2,31,0,0,110,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5903509,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.0326893717,0.6775631239,1967836.33333333,3395258.97480742,5888334,35,5903509,2951754.5,4152950.5558868,5888334,15175,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5081723429,0.169390781,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5403517,8,5,368,3009,187,0,46.0,70.7328979835,1492,0,601.8,798.3553093705,624.9633340656,2.4058404924,450293.083333333,1462384.50650513,5092509,1,5403517,771931.0,1905866.82293561,5092509,1,183762,45940.5,51497.8724835632,94891,221,0,0,0,0,172,112,1.4805172261,0.9253232663,0,1492,241.2142857143,526.0645146998,276743.873626374,0,0,0,1,0,0,0,0,0,259.7692307692,46.0,601.8,172,0,0,0,0,0,8,368,5,3009,8192,119,7,20,311007.0,0.0,311007,311007,5092509.0,0.0,5092509,5092509,BENIGN
49250,80401,3,0,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,149.2518749767,37.3129687442,40200.5,55726.3783185306,79605,796,80401,40200.5,55726.3783185306,79605,796,0,0.0,0.0,0,0,0,0,0,0,72,0,37.3129687442,0.0,0,6,3.0,3.4641016151,12.0,0,0,0,0,1,0,0,0,0,4.0,4.0,0.0,72,0,0,0,0,0,3,12,0,0,64,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,484,1,1,58,145,58,58,58.0,0.0,145,145,145.0,0.0,419421.487603306,4132.2314049587,484.0,0.0,484,484,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,2066.1157024793,2066.1157024793,58,145,87.0,50.2294734195,2523.0,0,0,0,0,0,0,0,0,1,130.5,58.0,145.0,20,0,0,0,0,0,1,58,1,145,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50320,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,2,0,0,0,357,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49462,5,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0.0,0.0,6200000.0,600000.0,2.5,2.1213203436,4,1,5,2.5,2.1213203436,4,1,0,0.0,0.0,0,0,0,0,0,0,96,0,600000.0,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0.0,96,0,0,0,0,0,3,31,0,0,939,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,114711,2,2,82,218,41,41,41.0,0.0,109,109,109.0,0.0,2615.2679341999,34.8702391227,38237.0,66224.09661898,114706,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,80,64,17.4351195613,17.4351195613,41,109,68.2,37.2451339104,1387.2,0,0,0,0,0,0,0,0,1,85.25,41.0,109.0,80,0,0,0,0,0,2,82,2,218,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,36988,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,486.6443170758,81.1073861793,18494.0,25925.3630254236,36826,162,36988,18494.0,25925.3630254236,36826,162,0,0.0,0.0,0,0,0,0,0,0,60,0,81.1073861793,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,3,18,0,0,63635,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
