Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
49188,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,329,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,822,7,4,458,356,220,0,65.4285714286,105.6264757575,178,0,89.0,102.7683479158,990267.639902676,13381.99513382,82.2,177.6662288925,579,1,822,137.0,269.6004451035,683,1,660,220.0,375.8550252424,654,3,0,0,0,0,164,104,8515.8150851582,4866.1800486618,0,220,67.8333333333,97.728597595,9550.8787878788,0,0,0,1,0,0,0,0,0,74.0,65.4285714286,89.0,164,0,0,0,0,0,7,458,4,356,8192,2053,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,876,9,4,630,2942,300,0,70.0,130.4223907157,1471,0,735.5,849.2822459779,4077625.57077626,14840.1826484018,73.0,209.199339474,734,1,876,109.5,281.3553929514,804,1,756,252.0,429.5497642881,748,3,0,0,0,0,204,104,10273.9726027397,4566.2100456621,0,1471,255.1428571429,525.9783349067,276653.208791209,0,0,0,1,0,0,0,0,0,274.7692307692,70.0,735.5,204,0,0,0,0,0,9,630,4,2942,8192,2053,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49478,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,1013,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,82046048,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,9.3605971125,0.1950124398,5469736.53333333,14937601.2283133,57954888,45148,81999998,11714285.4285714,20894310.97331,58000036,1999946,82000448,11714349.7142857,20894639.011498,58000938,1999775,0,0,0,0,-167770400,-167770400,0.0975062199,0.0975062199,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,-167770400,0,0,0,0,0,8,384,8,384,-1,-1,7,-83885313,5045339.5,7070699.40923248,10045079,45600,35954659.5,31113021.5200071,57954888,13954431,BENIGN
28858,788673,15,8,20532,36,2920,0,1368.8,1156.5318969105,6,0,4.5,2.7774602993,26079.2495749189,29.162910357,35848.7727272727,125663.54367457,567989,2,788673,56333.7857142857,155782.480835485,567989,2,597723,85389.0,213177.693220155,568199,3,0,0,0,0,324,184,19.0192893633,10.1436209937,0,2920,857.0,1126.818645954,1269720.26086957,0,0,0,1,0,0,0,0,0,894.2608695652,1368.8,4.5,324,0,0,0,0,0,15,20532,8,36,8192,389,13,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,60401675,13,12,980,3434,596,0,75.3846153846,168.1158025794,1615,2,286.1666666667,589.146660755,73.0774436305,0.4138958067,2516736.45833333,4381325.66106784,10012316,52,60401675,5033472.91666667,5203326.03851438,10093173,308,60317468,5483406.18181818,5207343.44686299,10096319,208,0,0,0,0,272,244,0.2152258195,0.1986699872,0,1615,169.7692307692,422.5824707857,178575.944615385,0,0,0,1,0,0,0,0,0,176.56,75.3846153846,286.1666666667,272,0,0,0,0,0,13,980,12,3434,8192,30992,12,20,122578.5,95053.71106222,316606,83679,9944332.0,160713.96530109,10012316,9616285,BENIGN
49666,58,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,206896.551724138,34482.7586206897,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,17241.3793103448,17241.3793103448,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,1,6,1,6,254,2053,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,49,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,244897.959183673,40816.3265306122,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,40,0,40816.3265306122,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,69077581,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.7794835491,0.0579059073,23025860.3333333,39747794.4637581,68922660,77421,69000081,69000081.0,0.0,69000081,69000081,69000160,69000160.0,0.0,69000160,69000160,0,0,0,0,52,52,0.0289529536,0.0289529536,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,0,0,0,0,0,2,96,2,96,-1,-1,1,20,77421.0,0.0,77421,77421,68922660.0,0.0,68922660,68922660,BENIGN
123,112087659,10,10,480,480,48,48,48.0,0.0,48,48,48.0,0.0,8.564725221,0.1784317754,5899350.47368421,15364447.6506954,63911987,87706,111999858,12444428.6666667,21024453.3414414,63999973,1999942,111999316,12444368.4444444,21024423.09136,63999788,1999497,0,0,0,0,260,268,0.0892158877,0.0892158877,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,50.4,48.0,48.0,260,0,0,0,0,0,10,480,10,480,-1,-1,9,20,4087920.66666667,3999960.50025026,8087907,87986,33245365.3333333,28041586.1237629,63911987,8912094,BENIGN
80,58086,3,2,427,656,421,0,142.3333333333,241.3510582809,654,2,328.0,461.0336213336,18644.7681024688,86.0792617843,14521.5,16666.663123333,29074,66,29012,14506.0,20359.0184439231,28902,110,29250,29250.0,0.0,29250,29250,0,0,0,0,72,44,51.6475570706,34.4317047137,0,654,180.5,286.1871765122,81903.1,0,0,0,1,0,0,0,0,0,216.6,142.3333333333,328.0,72,0,0,0,0,0,3,427,2,656,8192,16384,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5696983,8,5,386,3216,205,0,48.25,75.9525227645,1460,0,643.2,754.7855324528,632.264481042,2.2819095651,474748.583333333,1598418.02351999,5550098,4,5696983,813854.714285714,2088694.92433782,5550098,4,63758,15939.5,13734.1072880621,30363,213,0,0,0,0,172,112,1.4042520401,0.877657525,0,1460,257.2857142857,517.3600782332,267661.450549451,0,0,0,1,0,0,0,0,0,277.0769230769,48.25,643.2,172,0,0,0,0,0,8,386,5,3216,8192,237,7,20,146881.0,0.0,146881,146881,5550098.0,0.0,5550098,5550098,BENIGN
443,93970,4,1,237,0,225,0,59.25,110.5361931677,0,0,0.0,0.0,2522.0815153773,53.2084707885,23492.5,23921.0349622809,50263,106,93970,31323.3333333333,22264.7713739291,50369,6845,0,0.0,0.0,0,0,0,0,0,0,92,32,42.5667766308,10.6416941577,0,225,39.5,90.9235942976,8267.1,0,0,0,1,0,0,0,0,0,47.4,59.25,0.0,92,0,0,0,0,0,4,237,1,0,8192,29200,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,119615,1,1,101,165,101,101,101.0,0.0,165,165,165.0,0.0,2223.8013627054,16.7203109978,119615.0,0.0,119615,119615,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8.3601554989,8.3601554989,101,165,122.3333333333,36.9504172281,1365.3333333333,0,0,0,0,0,0,0,0,1,183.5,101.0,165.0,20,0,0,0,0,0,1,101,1,165,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,73021818,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,10.5174045379,0.2191125945,4868121.2,14759313.9954692,57973953,26180,72995638,10427948.2857143,21007318.9572839,58000292,1990418,72995371,10427910.1428571,21007264.131015,58000133,1989989,0,0,0,0,196,196,0.1095562973,0.1095562973,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,196,0,0,0,0,0,8,384,8,384,-1,-1,7,20,15021685.0,0.0,15021685,15021685,57973953.0,0.0,57973953,57973953,BENIGN
49865,3,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.666666667,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,30016,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5827488,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.0592062995,0.6864020998,1942496.0,3344001.88951636,5803793,111,5827488,2913744.0,4087146.4917228,5803793,23695,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5148015749,0.171600525,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,3,12,1,0,8192,65535,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,60782248,17,14,820,4775,505,0,48.2352941176,129.1968117891,1448,0,341.0714285714,567.6688449989,92.0499024649,0.5100173327,2026074.93333333,4057266.10431399,10189405,1,60782248,3798890.5,4997944.6243577,10240018,1,60731040,4671618.46153846,5180227.43282321,10240013,1,0,0,0,0,552,456,0.2796869244,0.2303304083,0,1448,174.84375,407.439297626,166006.78125,0,0,0,1,0,0,0,0,0,180.4838709677,48.2352941176,341.0714285714,552,0,0,0,0,0,17,820,14,4775,29200,79,3,32,132811.333333333,201229.348196198,543569,50590,9997468.83333333,381309.7807245,10189405,9229403,BENIGN
88,525,7,4,2780,2820,1381,0,397.1428571429,672.1077365451,1410,0,705.0,814.0638795574,10666666.6666667,20952.380952381,52.5,76.118693864,263,1,525,87.5,120.3108473912,330,1,469,156.3333333333,186.7734813439,372,48,0,0,0,0,164,104,13333.3333333333,7619.0476190476,0,1410,466.6666666667,686.0490750182,470663.333333333,0,0,0,1,0,0,0,0,0,509.0909090909,397.1428571429,705.0,164,0,0,0,0,0,7,2780,4,2820,8192,2053,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115690434,16,14,500,2496,416,0,31.25,102.6109155987,2490,0,178.2857142857,665.3590619498,25.8966960051,0.2593127103,3989325.31034483,4904340.72858325,10087085,-1,115690434,7712695.6,4205536.41703798,10100567,23147,111198915,8553762.69230769,3753462.07409731,10110185,1577,0,0,0,0,332,424,0.1383001122,0.1210125982,0,2490,96.6451612903,450.3386539326,202804.903225806,0,0,0,1,0,0,0,0,0,99.8666666667,31.25,178.2857142857,332,0,0,0,0,0,16,500,14,2496,8192,946,15,20,40813.9090909091,58518.0759824766,217251,22985,10067905.0909091,24914.8515887794,10087085,9999440,BENIGN
49603,230,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,52173.9130434783,8695.6521739131,230.0,0.0,230,230,230,230.0,0.0,230,230,0,0.0,0.0,0,0,0,0,0,0,40,0,8695.6521739131,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,125,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,110657,8,4,524,3784,204,0,65.5,79.9428367201,2348,0,946.0,1151.5751531417,38931.1114525064,108.4432073886,10059.7272727273,15292.1233064013,36880,18,110657,15808.1428571429,17663.8360540076,38782,48,39284,13094.6666666667,20831.3631175047,37134,348,0,0,0,0,172,92,72.2954715924,36.1477357962,0,2348,331.3846153846,719.3453665731,517457.756410256,0,0,0,1,0,0,0,0,0,359.0,65.5,946.0,172,0,0,0,0,0,8,524,4,3784,8192,343,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,421,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,28503.5629453682,4750.593824228,421.0,0.0,421,421,421,421.0,0.0,421,421,0,0.0,0.0,0,0,0,0,0,0,40,0,4750.593824228,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,709865,10,12,769,18741,403,0,76.9,133.7414171701,2920,0,1561.75,1077.2605091367,27484.0990892635,30.9918083016,33803.0952380952,68232.7695091624,172556,26,709644,78849.3333333333,92955.0845193527,187183,162,539898,49081.6363636364,82468.6092295399,188540,48,0,0,0,0,212,252,14.0871855916,16.90462271,0,2920,848.2608695652,1080.9233518109,1168395.29249012,0,0,0,1,0,0,0,0,1,886.8181818182,76.9,1561.75,212,0,0,0,0,0,10,769,12,18741,8192,131,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5049240,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,2.3765952896,0.3960992149,5049240.0,0.0,5049240,5049240,5049240,5049240.0,0.0,5049240,5049240,0,0.0,0.0,0,0,0,0,0,0,40,0,0.3960992149,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,63018,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,61053,1,1,54,92,54,54,54.0,0.0,92,92,92.0,0.0,2391.3648796947,32.7584230095,61053.0,0.0,61053,61053,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.3792115048,16.3792115048,54,92,66.6666666667,21.9393102292,481.3333333333,0,0,0,0,0,0,0,0,1,100.0,54.0,92.0,32,0,0,0,0,0,1,54,1,92,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115295422,19,18,1389,3196,435,0,73.1052631579,161.0099702699,796,0,177.5555555556,340.1615917424,39.7674072436,0.3209147368,3202650.61111111,4610048.50831007,10010052,53,115271970,6403998.33333333,4724087.45435138,10033701,328,115271894,6780699.64705882,4649284.43166306,10033788,805,0,0,0,0,404,504,0.164794054,0.1561206827,0,796,120.6578947368,262.4983167324,68905.36628734,0,0,0,1,0,0,0,0,0,123.9189189189,73.1052631579,177.5555555556,404,0,0,0,0,0,19,1389,18,3196,8192,292,17,20,517285.727272727,1447578.03731302,4847231,23428,9961984.27272727,94326.0222770906,10010052,9745518,BENIGN
80,46033209,4,5,245,2410,233,0,61.25,114.5349291701,1460,0,482.0,680.0544095879,57.675753172,0.1955110277,5754151.125,16262090.3320294,46000768,6,32441,10813.6666666667,9353.2690720054,17210,79,46018142,11504535.5,22997493.3184251,46000774,49,0,0,0,0,92,112,0.0868937901,0.1086172376,0,1460,265.5,512.1820965243,262330.5,0,0,0,1,0,0,0,0,1,295.0,61.25,482.0,92,0,0,0,0,0,4,245,5,2410,8192,30,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,67000210,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,5.7313253197,0.1194026108,9571458.57142857,25323561.0442273,66999897,2,67000060,22333353.3333333,38682498.3465941,67000055,2,67000053,22333351.0,38682493.4391168,67000047,2,0,0,0,0,80,80,0.0597013054,0.0597013054,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,80,0,0,0,0,0,4,192,4,192,-1,-1,3,20,161.0,0.0,161,161,66999897.0,0.0,66999897,66999897,BENIGN
123,68016700,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.8228361564,0.0588090866,22672233.3333333,39240985.1394237,67983820,16284,68000104,68000104.0,0.0,68000104,68000104,68000416,68000416.0,0.0,68000416,68000416,0,0,0,0,52,52,0.0294045433,0.0294045433,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,0,0,0,0,0,2,96,2,96,-1,-1,1,20,16284.0,0.0,16284,16284,67983820.0,0.0,67983820,67983820,BENIGN
80,174,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,68965.5172413793,11494.2528735632,174.0,0.0,174,174,174,174.0,0.0,174,174,0,0.0,0.0,0,0,0,0,0,0,40,0,11494.2528735632,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
