Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
49519,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5751392,6,4,611,153,517,0,101.8333333333,204.305082332,141,0,38.25,68.5583692922,132.8374070138,1.7387095159,639043.555555556,1850541.87215766,5573433,3,5751392,1150278.4,2511045.98458387,5642083,3,145746,48582.0,41351.3652495296,74506,894,0,0,0,0,132,92,1.0432257095,0.6954838064,0,517,69.4545454545,154.2117788214,23781.2727272727,0,0,0,1,0,0,0,0,0,76.4,101.8333333333,38.25,132,0,0,0,0,0,6,611,4,153,8192,55,5,20,177956.0,0.0,177956,177956,5573433.0,0.0,5573433,5573433,BENIGN
443,90401,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44.2472981494,30133.6666666667,33939.4211549539,66917,32,90401,45200.5,30711.7688272753,66917,23484,0,0.0,0.0,0,0,0,0,0,0,104,40,33.185473612,11.0618245373,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5237929,12,9,398,3152,193,0,33.1666666667,61.1805574187,1432,0,350.2222222222,566.765555097,677.7487820091,4.0092181471,261896.45,1124636.6385043,5039264,2,5237929,476175.363636364,1513684.51239459,5039264,2,114841,14355.125,26189.5521885978,60815,3,0,0,0,0,260,192,2.2909817983,1.7182363488,0,1432,161.3636363636,387.6190502781,150248.528138528,0,0,0,1,0,0,0,0,0,169.0476190476,33.1666666667,350.2222222222,260,0,0,0,0,0,12,398,9,3152,29200,62,11,20,198617.0,0.0,198617,198617,5039264.0,0.0,5039264,5039264,BENIGN
80,5692474,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.702682173,1897491.33333333,3254946.75220999,5655921,23,5692474,2846237.0,3973493.21878269,5655921,36553,0,0.0,0.0,0,0,0,0,0,0,104,40,0.5270116297,0.1756705432,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,3,0,1,0,29200,42408,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,60889697,19,15,1370,5551,520,0,72.1052631579,166.5846113797,1448,0,370.0666666667,549.9140798689,113.6645498499,0.5583867497,1845142.33333333,3916918.22665287,10245460,1,60889697,3382760.94444444,4865227.56147882,10296007,1,60838614,4345615.28571429,5144763.80674501,10296011,2,0,0,0,0,616,488,0.3120396543,0.2463470955,0,1448,197.7428571429,402.8439591978,162283.255462185,0,0,0,1,0,0,0,0,0,203.5588235294,72.1052631579,370.0666666667,616,0,0,0,0,0,19,1370,15,5551,29200,83,4,32,126401.833333333,185866.396951592,505800,50382,10021802.3333333,355712.160120886,10245460,9316241,BENIGN
443,115505555,23,23,741,10543,313,0,32.2173913043,74.702413568,1460,0,458.3913043478,635.0203102787,97.6922711639,0.3982492444,2566790.11111111,4360802.53269931,10184523,2,115505555,5250252.5,5023501.46572732,10199587,3,110984254,5044738.81818182,5147185.14634449,10199593,2,0,0,0,0,472,604,0.1991246222,0.1991246222,0,1460,240.085106383,492.1527612698,242214.340425532,0,0,0,1,0,0,0,0,1,245.3043478261,32.2173913043,458.3913043478,472,0,0,0,0,0,23,741,23,10543,8192,31,22,20,31209.4545454545,53470.3218549573,192428,14953,10058277.0,58859.3529560081,10184523,10000695,BENIGN
443,111847394,26,22,4174,6472,923,0,160.5384615385,274.9859968463,1460,0,294.1818181818,450.4540181981,95.1832637245,0.4291561769,2379731.78723404,4181416.49596545,10076595,96,111822975,4472919.0,4891161.39708969,10100585,225,111823359,5324921.85714286,4932427.83378371,10116395,209,0,0,0,0,532,572,0.2324595958,0.1966965811,0,1460,217.2653061224,365.5060291061,133594.657312925,0,0,0,1,0,0,0,0,0,221.7916666667,160.5384615385,294.1818181818,532,0,0,0,0,0,26,4174,22,6472,8192,76,25,20,341377.818181818,658256.405863675,1955884,23802,9824347.18181818,725182.147184391,10076595,7644617,BENIGN
53,22251669,2,2,103,226,53,50,51.5,2.1213203436,148,78,113.0,49.4974746831,14.7854077822,0.1797617967,7417223.0,12819667.187521,22220089,446,22220535,22220535.0,0.0,22220535,22220535,22251223,22251223.0,0.0,22251223,22251223,0,0,0,0,52,52,0.0898808984,0.0898808984,50,148,75.8,42.038077977,1767.2,0,0,0,0,0,0,0,0,1,94.75,51.5,113.0,52,0,0,0,0,0,2,103,2,226,-1,-1,1,20,446.0,0.0,446,446,22220089.0,0.0,22220089,22220089,BENIGN
53,40321,1,1,55,120,55,55,55.0,0.0,120,120,120.0,0.0,4340.1701346693,49.6019443962,40321.0,0.0,40321,40321,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,24.8009721981,24.8009721981,55,120,76.6666666667,37.5277674973,1408.3333333333,0,0,0,0,0,0,0,0,1,115.0,55.0,120.0,32,0,0,0,0,0,1,55,1,120,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,21538920,2,2,111,206,56,55,55.5,0.7071067812,111,95,103.0,11.313708499,14.7175438694,0.1857103327,7179640.0,12381724.5710231,21476824,30270,21508650,21508650.0,0.0,21508650,21508650,21507094,21507094.0,0.0,21507094,21507094,0,0,0,0,76,52,0.0928551664,0.0928551664,55,111,74.4,26.7170357637,713.8,0,0,0,0,0,0,0,0,1,93.0,55.5,103.0,76,0,0,0,0,0,2,111,2,206,-1,-1,1,32,31826.0,0.0,31826,31826,21476824.0,0.0,21476824,21476824,BENIGN
443,4597378,2,4,52,147,46,6,26.0,28.2842712475,64,6,36.75,24.5407823836,43.2855423243,1.3050917284,919475.6,2007957.54910725,4511132,49,86022,86022.0,0.0,86022,86022,4573591,1524530.33333333,2640370.0060744,4573367,49,1,0,0,0,40,80,0.4350305761,0.8700611522,6,64,35.0,21.9924229376,483.6666666667,0,1,0,0,1,0,0,0,2,40.8333333333,26.0,36.75,40,0,0,0,0,0,2,52,4,147,254,292,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,69062697,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.7800825676,0.0579183868,23020899.0,39764887.4958836,68937436,62553,68999989,68999989.0,0.0,68999989,68999989,69000144,69000144.0,0.0,69000144,69000144,0,0,0,0,40,40,0.0289591934,0.0289591934,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,2,96,2,96,-1,-1,1,20,62553.0,0.0,62553,62553,68937436.0,0.0,68937436,68937436,BENIGN
5353,17,12,0,732,0,61,61,61.0,0.0,0,0,0.0,0.0,43058823.5294118,705882.352941177,1.5454545455,1.2135597524,5,1,17,1.5454545455,1.2135597524,5,1,0,0.0,0.0,0,0,0,0,0,0,384,0,705882.352941177,0.0,61,61,61.0,0.0,0.0,0,0,0,0,0,0,0,0,0,66.0833333333,61.0,0.0,384,0,0,0,0,0,12,732,0,0,-1,-1,11,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,66094113,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.9049485845,0.0605197622,22031371.0,37996622.9699882,65906092,93960,66000052,66000052.0,0.0,66000052,66000052,66000153,66000153.0,0.0,66000153,66000153,0,0,0,0,52,64,0.0302598811,0.0302598811,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,0,0,0,0,0,2,96,2,96,-1,-1,1,20,93960.0,0.0,93960,93960,65906092.0,0.0,65906092,65906092,BENIGN
123,67077477,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.8623616836,0.0596325351,22359159.0,38593093.6366863,66922625,77413,67000038,67000038.0,0.0,67000038,67000038,67000064,67000064.0,0.0,67000064,67000064,0,0,0,0,64,64,0.0298162675,0.0298162675,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,64,0,0,0,0,0,2,96,2,96,-1,-1,1,32,77413.0,0.0,77413,77413,66922625.0,0.0,66922625,66922625,BENIGN
