Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
123,73069201,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,10.5105843432,0.2189705071,4871280.06666667,14999789.0353548,58923754,77412,72991062,10427294.5714286,21431947.7608807,59001166,1996473,72991329,10427332.7142857,21432247.6233877,59001893,1996528,0,0,0,0,172,172,0.1094852536,0.1094852536,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,172,0,0,0,0,0,8,384,8,384,-1,-1,7,8,14067308.0,0.0,14067308,14067308,58923754.0,0.0,58923754,58923754,BENIGN
1096,581,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,20654.0447504303,3442.3407917384,581.0,0.0,581,581,581,581.0,0.0,581,581,0,0.0,0.0,0,0,0,0,0,0,40,0,3442.3407917384,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,351,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23953,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,7013.735231495,166.993695988,7984.3333333333,13824.0748454764,23947,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,83.496847994,83.496847994,34,50,40.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,40,0,0,0,0,0,2,68,2,100,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5198841,10,8,377,5059,190,0,37.7,65.7470742906,1460,0,632.375,631.0856716802,1045.6176674763,3.4623101572,305814.176470588,1177466.5890605,4870764,4,5198841,577649.0,1611662.76422031,4870764,4,304909,43558.4285714286,82028.7053127484,223421,48,0,0,0,0,224,172,1.9235056429,1.5388045143,0,1460,286.1052631579,499.1613961588,249162.099415205,0,0,0,1,0,0,0,0,0,302.0,37.7,632.375,224,0,0,0,0,0,10,377,8,5059,8192,946,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54662,2231,2,1,43,6,37,6,21.5,21.9203102168,6,6,6.0,0.0,21963.2451815329,1344.688480502,1115.5,1461.5897167126,2149,82,2231,2231.0,0.0,2231,2231,0,0.0,0.0,0,0,0,0,0,0,40,20,896.4589870013,448.2294935007,6,37,21.5,17.8978583449,320.3333333333,0,0,0,0,1,1,0,0,0,28.6666666667,21.5,6.0,40,0,0,0,0,0,2,43,1,6,40958,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
58048,1,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,37000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,62,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115742220,19,19,1358,7502,428,0,71.4736842105,156.2573974857,2502,0,394.8421052632,734.072147768,76.5494216372,0.3283158039,3128168.10810811,4611314.38439029,10077613,24,115719099,6428838.83333333,4776683.79733983,10100574,23161,115719142,6428841.22222222,4783524.9292101,10100817,164,0,0,0,0,392,524,0.1641579019,0.1641579019,0,2502,227.1794871795,542.5419155185,294351.730094467,0,0,0,1,0,0,0,0,1,233.1578947368,71.4736842105,394.8421052632,392,0,0,0,0,0,19,1358,19,7502,8192,1013,18,20,455843.181818182,1138577.12171656,3762531,22961,10064074.9090909,24763.6600261535,10077613,10000355,BENIGN
80,115654186,16,14,432,1962,432,0,27.0,108.0,1962,0,140.1428571429,524.3665566322,20.699639873,0.2593939834,3988075.37931034,4966988.83639402,10221091,49,115654186,7710279.06666667,4352361.17123283,10244023,731,112724396,8671107.38461539,3778850.85151786,10244652,24810,0,0,0,0,520,456,0.1383434578,0.1210505256,0,1962,77.2258064516,358.2917535266,128372.980645161,0,0,0,1,0,0,0,0,0,79.8,27.0,140.1428571429,520,0,0,0,0,0,16,432,14,1962,29200,939,1,32,52054.7272727273,95482.7024775597,339942,22883,10195575.5454545,60455.8136035959,10221091,10015655,BENIGN
443,116009946,20,18,1441,6244,988,0,72.05,221.4940833236,2376,0,346.8888888889,697.7719911504,66.2443201206,0.3275581216,3135403.94594595,4627585.78813377,10069704,4,116009946,6105786.63157895,4903848.90524101,10100564,4,110927241,6525131.82352941,4950806.46764918,10100618,49,0,0,0,0,412,504,0.1723990114,0.1551591102,0,2376,197.0512820513,512.0816623156,262227.628879892,0,0,0,1,0,0,0,0,0,202.2368421053,72.05,346.8888888889,412,0,0,0,0,0,20,1441,18,6244,8192,126,19,20,41948.1666666667,38085.0125636017,162884,30828,9625547.0,1440750.80810647,10069704,5051696,BENIGN
46038,114,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17543.8596491228,114.0,0.0,114,114,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8771.9298245614,8771.9298245614,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,227,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
