Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
49478,1,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,37000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,1013,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49480,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,1013,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
389,156516,17,8,284,714,64,0,16.7058823529,25.2580796625,144,0,89.25,58.9691202483,6376.3449104245,159.7280789185,6521.5,31610.3519051152,154927,3,156516,9782.25,38705.3993778646,154927,4,1374,196.2857142857,252.7434234461,609,3,0,0,0,0,568,272,108.6150936645,51.1129852539,0,144,38.3846153846,50.8763811001,2588.4061538462,0,0,0,1,0,0,0,0,0,39.92,16.7058823529,89.25,568,0,0,0,0,0,17,284,8,714,65535,2081,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
389,119539920,126,85,20666,32348,1293,0,164.0158730159,198.8348856364,3069,0,380.5647058824,434.776692739,443.4836496461,1.7651007295,569237.714285714,4087643.04452206,38180099,1,119539920,956319.36,5271555.62088655,38180099,1,119496900,1422582.14285714,6397285.37498322,38221000,1,0,0,0,0,4048,2736,1.0540411939,0.7110595356,0,3069,250.0660377358,332.044914134,110253.825002235,0,0,0,1,0,0,0,0,0,251.2511848341,164.0158730159,380.5647058824,4048,0,0,0,0,0,126,20666,85,32348,29200,2079,82,32,1174896.5,1951380.53314954,4081060,328,27693778.75,12471855.6084355,38180099,9673294,BENIGN
22,27700563,31,36,2382,6954,408,0,76.8387096774,111.8925367705,976,0,193.1666666667,338.6926546084,337.0328610289,2.4187234028,419705.5,3213118.50279494,26120799,0,27700563,923352.1,4760986.98012953,26120799,3,27652642,790075.485714286,4408744.37542813,26121012,0,0,0,0,0,644,744,1.1191108282,1.2996125747,0,976,137.2941176471,263.0213690214,69180.2405618964,0,0,0,1,0,0,0,0,1,139.3432835821,76.8387096774,193.1666666667,644,0,0,0,0,0,31,2382,36,6954,8192,245,29,20,857865.0,0.0,857865,857865,26120799.0,0.0,26120799,26120799,BENIGN
1096,581,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,20654.0447504303,3442.3407917384,581.0,0.0,581,581,581,581.0,0.0,581,581,0,0.0,0.0,0,0,0,0,0,0,40,0,3442.3407917384,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,351,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,64006278,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,5.9994114952,0.1249877395,9143754.0,24191977.4290671,64006002,3,64006154,21335384.6666667,36953964.1795148,64006147,3,64006133,21335377.6666667,36953952.0551592,64006126,3,0,0,0,0,80,80,0.0624938697,0.0624938697,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,80,0,0,0,0,0,4,192,4,192,-1,-1,3,20,149.0,0.0,149,149,64006002.0,0.0,64006002,64006002,BENIGN
80,1898523,413,495,2413,1081265,1259,0,5.8426150121,69.0968570579,4344,0,2184.3737373737,829.5189253338,570800.564438777,478.2665261364,2093.1896361632,27168.5321479533,777321,0,1898523,4608.0655339806,40207.6733898989,777449,1,1026953,2078.8522267207,11571.4087383992,100244,1,0,0,0,0,15468,15848,217.5375278572,260.7289982792,0,4344,1192.1650165017,1246.9642534538,1554919.84939155,0,0,0,1,0,0,0,0,1,1193.4779735683,5.8426150121,2184.3737373737,15468,0,0,0,0,0,413,2413,495,1081265,29200,291,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,58025,3,2,427,656,421,0,142.3333333333,241.3510582809,654,2,328.0,461.0336213336,18664.3688065489,86.1697544162,14506.25,16632.6143139516,28934,82,29091,14545.5,20397.9093168883,28969,122,29138,29138.0,0.0,29138,29138,0,0,0,0,72,44,51.7018526497,34.4679017665,0,654,180.5,286.1871765122,81903.1,0,0,0,1,0,0,0,0,0,216.6,142.3333333333,328.0,72,0,0,0,0,0,3,427,2,656,8192,16384,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,13512,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,888.0994671403,148.0165778567,13512.0,0.0,13512,13512,13512,13512.0,0.0,13512,13512,0,0.0,0.0,0,0,0,0,0,0,40,0,148.0165778567,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,10345710,16,24,4259,30469,1935,0,266.1875,653.6991376008,2920,0,1269.5416666667,955.0154553344,3356.7536689121,3.8663368681,265274.615384615,1580145.44153483,9878788,3,466919,31127.9333333333,41975.1520093677,119428,203,10313593,448417.086956522,2082190.12493668,9998144,3,0,0,0,0,332,492,1.5465347473,2.3198021209,0,2920,847.0243902439,971.9437609195,944674.674390244,0,0,0,1,0,0,0,0,1,868.2,266.1875,1269.5416666667,332,0,0,0,0,0,16,4259,24,30469,8192,77,15,20,466919.0,0.0,466919,466919,9878788.0,0.0,9878788,9878788,BENIGN
49781,34098,2,1,44,6,38,6,22.0,22.627416998,6,6,6.0,0.0,1466.3616634407,87.9816998064,17049.0,24067.0864044653,34067,31,34098,34098.0,0.0,34098,34098,0,0.0,0.0,0,0,1,0,0,0,40,20,58.6544665376,29.3272332688,6,38,22.0,18.4752086141,341.3333333333,0,1,0,0,1,0,0,0,0,29.3333333333,22.0,6.0,40,0,0,0,0,0,2,44,1,6,351,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,61674,3,4,427,2265,427,0,142.3333333333,246.528564944,2265,0,566.25,1132.5,43648.8633784091,113.5000162143,10279.0,14487.3492261352,28946,4,31718,15859.0,18516.2981721509,28952,2766,32746,10915.3333333333,18038.1850897848,31736,4,0,0,0,0,104,136,48.6428640918,64.8571521225,0,2265,336.5,793.4280055556,629528.0,0,0,0,1,0,0,0,0,1,384.5714285714,142.3333333333,566.25,104,0,0,0,0,0,3,427,4,2265,29200,237,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
139,8114,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,246.4875523786,8114.0,0.0,8114,8114,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,123.2437761893,123.2437761893,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,1,0,1,0,65535,269,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,926,9,4,656,3064,313,0,72.8888888889,136.1538141629,1532,0,766.0,884.5006123985,4017278.61771058,14038.8768898488,77.1666666667,199.1914717658,704,1,926,115.75,275.7741052798,795,1,789,263.0,448.6022737348,781,3,0,0,0,0,204,104,9719.222462203,4319.6544276458,0,1532,265.7142857143,547.8425417485,300131.450549451,0,0,0,1,0,0,0,0,0,286.1538461538,72.8888888889,766.0,204,0,0,0,0,0,9,656,4,3064,8192,2053,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4862356,3,1,65,6,53,6,21.6666666667,27.1354626519,6,6,6.0,0.0,14.6019748451,0.8226464701,1620785.33333333,2782801.35170736,4834046,3,4862356,2431178.0,3438200.65750241,4862353,3,0,0.0,0.0,0,0,0,0,0,0,60,20,0.6169848526,0.2056616175,6,53,15.4,21.0190389885,441.8,0,0,0,0,1,0,0,0,0,19.25,21.6666666667,6.0,60,0,0,0,0,0,3,65,1,6,256,5120,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5700521,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.105070747,0.701690249,1900173.66666667,3270560.41837088,5676667,136,5700521,2850260.5,3997142.40507947,5676667,23854,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5262676868,0.1754225623,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,3,12,1,0,8192,65535,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,117277216,19,23,2442,15283,1755,0,128.5263157895,397.7407542638,2860,0,664.4782608696,788.700016112,151.1376259136,0.3581258273,2860419.90243902,12678800.3046462,58281559,1,117277216,6515400.88888889,18802995.0921475,58358350,119,117190379,5326835.40909091,17121689.9526866,58318445,1,0,0,0,0,392,472,0.1620093028,0.1961165245,0,2860,412.2093023256,684.7884817032,468935.264673311,0,0,0,1,0,0,0,0,1,422.0238095238,128.5263157895,664.4782608696,392,0,0,0,0,0,19,2442,23,15283,8192,395,18,20,434827.5,486176.217152279,778606,91049,58160361.0,171399.855332494,58281559,58039163,BENIGN
123,67080671,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.8622253943,0.0596296957,22360223.6666667,38589052.1850324,66919023,80690,66999981,66999981.0,0.0,66999981,66999981,66999713,66999713.0,0.0,66999713,66999713,0,0,0,0,52,64,0.0298148479,0.0298148479,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,0,0,0,0,0,2,96,2,96,-1,-1,1,20,80958.0,0.0,80958,80958,66919023.0,0.0,66919023,66919023,BENIGN
80,94,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,127659.574468085,21276.5957446809,94.0,0.0,94,94,94,94.0,0.0,94,94,0,0.0,0.0,0,0,0,0,0,0,40,0,21276.5957446809,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,260,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31066392,2,2,98,373,54,44,49.0,7.0710678119,259,114,186.5,102.5304832721,15.1610782482,0.1287565032,10355464.0,17831569.7081504,30945558,30416,30975974,30975974.0,0.0,30975974,30975974,31035976,31035976.0,0.0,31035976,31035976,0,0,0,0,52,40,0.0643782516,0.0643782516,44,259,105.0,90.4433524368,8180.0,0,0,0,0,0,0,0,0,1,131.25,49.0,186.5,52,0,0,0,0,0,2,98,2,373,-1,-1,1,20,30416.0,0.0,30416,30416,30945558.0,0.0,30945558,30945558,BENIGN
443,729190,6,7,1245,3642,903,0,207.5,350.6096119618,1460,0,520.2857142857,603.6471690996,6701.9569659485,17.8280009325,60765.8333333333,85171.1042846141,188988,1,540201,108040.2,97948.8192511783,188775,123,558435,93072.5,99623.8330697028,204666,1,0,0,0,0,132,152,8.2283081227,9.5996928098,0,1460,349.0714285714,499.8677462452,249867.763736264,0,0,0,1,0,0,0,0,1,375.9230769231,207.5,520.2857142857,132,0,0,0,0,0,6,1245,7,3642,8192,137,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,10274341,8,12,854,5861,497,0,106.75,175.1381087681,1460,0,488.4166666667,624.1721001503,653.5698980596,1.9465968669,540754.789473684,2280437.26459651,9957493,36,316609,45229.8571428571,27603.4289683279,89680,178,10239526,930866.0,3007974.25955602,9999844,48,0,0,0,0,172,248,0.7786387468,1.1679581201,0,1460,319.7619047619,515.1109496761,265339.290476191,0,0,0,1,0,0,0,0,1,335.75,106.75,488.4166666667,172,0,0,0,0,0,8,854,12,5861,8192,5210,7,20,316609.0,0.0,316609,316609,9957493.0,0.0,9957493,9957493,BENIGN
123,64000024,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,5.99999775,0.1249999531,9142860.57142857,24189606.1429681,63999731,3,63999882,21333294.0,36950343.0386265,63999875,3,63999879,21333293.0,36950342.1726011,63999873,3,0,0,0,0,104,104,0.0624999766,0.0624999766,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,104,0,0,0,0,0,4,192,4,192,-1,-1,3,20,148.0,0.0,148,148,63999731.0,0.0,63999731,63999731,BENIGN
