Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
49572,3,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.666666667,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,1637,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,20350544,5,5,1257,896,650,0,251.4,339.3328749178,526,0,179.2,247.1582489014,105.7956976482,0.4913873555,2261171.55555556,6633526.09522947,19949997,113,400547,100136.75,70585.3365290318,166360,182,20234518,5058629.5,9961085.43679943,20000029,231,0,0,0,0,112,112,0.2456936778,0.2456936778,0,650,195.7272727273,275.7005951786,76010.8181818182,0,0,0,1,0,0,0,0,1,215.3,251.4,179.2,112,0,0,0,0,0,5,1257,5,896,8192,62,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,680009,9,8,552,4993,191,0,61.3333333333,80.6272286514,2636,0,624.125,950.4402645241,8154.3038400962,24.999669122,42500.5625,73601.0733626159,267291,3,680009,85001.125,91126.5656145146,267291,3,389631,55661.5714285714,73875.0949167064,175481,3,0,0,0,0,192,172,13.235118947,11.7645501751,0,2636,308.0555555556,678.1162031447,459841.58496732,0,0,0,1,0,0,0,0,0,326.1764705882,61.3333333333,624.125,192,0,0,0,0,0,9,552,8,4993,8192,980,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,118506726,62,61,1417,72978,370,0,22.8548387097,70.2897625114,2920,0,1196.3606557377,972.5939891648,627.77027525,1.037915772,971366.606557377,2861247.27082644,10029037,1,118506726,1942733.21311475,3972832.98352763,10379904,1,116436775,1940612.91666667,4021380.68600915,10380132,1,0,0,0,0,1320,1232,0.5231770558,0.5147387162,0,2920,599.9596774194,900.6055632044,811090.380474692,0,0,0,1,0,0,0,0,0,604.837398374,22.8548387097,1196.3606557377,1320,0,0,0,0,0,62,1417,61,72978,29200,37,56,20,581948.454545455,766893.211390525,2894218,349419,10003186.7272727,50536.9949108389,10029037,9851196,BENIGN
123,149,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,1288590.60402685,26845.6375838926,49.6666666667,47.5219247646,98,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,13422.8187919463,13422.8187919463,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,64,0,0,0,0,0,2,96,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,174546,11,6,1809,783,1368,0,164.4545454545,404.74643016,645,0,130.5,258.0261614643,14849.953593895,97.3955289723,10909.125,15614.8384509735,36508,50,174546,17454.6,20479.5442125931,52784,50,127164,25432.8,16610.874892672,37150,402,0,0,0,0,364,200,63.0206363938,34.3748925785,0,1368,144.0,342.7841028643,117500.941176471,0,0,0,1,0,0,0,0,0,152.4705882353,164.4545454545,130.5,364,0,0,0,0,0,11,1809,6,783,65535,383,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,217,2,2,68,132,34,34,34.0,0.0,66,66,66.0,0.0,921658.986175115,18433.1797235023,72.3333333333,84.8842348928,167,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,64,9216.5898617512,9216.5898617512,34,66,46.8,17.5271218402,307.2,0,0,0,0,0,0,0,0,1,58.5,34.0,66.0,64,0,0,0,0,0,2,68,2,132,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,179,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,893854.748603352,22346.3687150838,59.6666666667,97.2848052541,172,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,11173.1843575419,11173.1843575419,32,48,38.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115294,3,3,1427,1411,1350,38,475.6666666667,757.1950431252,1350,30,470.3333333333,761.8138442778,24615.3312401339,52.0408694295,23058.8,31445.2017754697,61894,1,53400,26700.0,37758.0879017993,53399,1,62545,31272.5,44223.1652021879,62543,2,0,0,0,0,60,60,26.0204347147,26.0204347147,30,1350,598.2857142857,703.1720307022,494450.904761905,0,0,0,0,0,0,0,0,1,698.0,475.6666666667,470.3333333333,60,0,0,0,0,0,3,1427,3,1411,-1,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55896,252303,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,71.3427902165,11.8904650361,126151.5,178381.120583149,252286,17,252303,252303.0,0.0,252303,252303,0,0.0,0.0,0,0,0,0,0,0,40,20,7.9269766907,3.9634883454,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,2,12,1,6,2315,65392,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,51398,2,2,94,220,47,47,47.0,0.0,110,110,110.0,0.0,6109.1871279038,77.8240398459,17132.6666666667,29659.9270453137,51381,4,13,13.0,0.0,13,13,4,4.0,0.0,4,4,0,0,0,0,64,40,38.912019923,38.912019923,47,110,72.2,34.5065211228,1190.7,0,0,0,0,0,0,0,0,1,90.25,47.0,110.0,64,0,0,0,0,0,2,94,2,220,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,92,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21739.13043,92.0,0.0,92,92,92,92.0,0.0,92,92,0,0.0,0.0,0,0,0,0,0,0,40,0,21739.13043,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,2,0,0,0,253,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,118625864,27,37,939,38172,316,0,34.77777778,75.11290647,1430,0,1031.675676,608.1738628,329.7004437,0.53951135,1882950.222,10400000.0,59900000,2,119000000,4562533.231,16000000.0,59900000,21,119000000,3292562.694,13700000.0,60000000,2,0,0,0,0,552,752,0.227606351,0.311904999,0,1430,601.7076923,677.1100982,458478.0851,0,0,0,1,0,0,0,0,1,611.109375,34.77777778,1031.675676,552,0,0,0,0,0,27,939,37,38172,8192,360,8,20,257254.5,239704.2491,426751,87758,59000000.0,1288214.205,59900000,58100000,BENIGN
443,145113,29,47,871,63088,389,0,30.03448276,87.59178156,2896,0,1342.297872,570.0430539,440753.0683,523.729783,1934.84,5507.693011,23380,1,145113,5182.607143,8670.792242,25505,1,121756,2646.869565,7806.1982,41683,48,0,0,0,0,940,1512,199.8442593,323.8855237,0,2896,830.6363636,784.2601258,615063.945,0,0,0,1,0,0,0,0,1,841.5657895,30.03448276,1342.297872,940,0,0,0,0,0,29,871,47,63088,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,47752689,24,19,963,15584,307,0,40.125,95.74254994,1448,0,820.2105263,688.5718375,346.5145177,0.900472851,1136968.786,2905678.332,10000000,4,46800000,2034191.391,3744995.063,10100000,138,47600000,2647141.5,4616771.247,12100000,49,0,0,0,0,860,616,0.502589498,0.397883353,0,1448,376.0681818,597.3428527,356818.4836,0,0,0,1,0,0,0,0,0,384.8139535,40.125,820.2105263,860,0,0,0,0,0,24,963,19,15584,29200,37,4,32,1563764.5,1325030.697,3123843,104294,9882835.75,260836.0551,10000000,9491860,BENIGN
443,76139316,17,14,1197,3897,677,0,70.41176471,180.7439691,1400,0,278.3571429,505.2016516,66.90367431,0.407148391,2537977.2,4279677.468,10000000,1,71400000,4463747.375,5082996.448,10000000,1,76100000,5854351.308,4861080.432,10000000,2,0,0,0,0,552,452,0.223274924,0.183873467,0,1400,159.1875,368.0290519,135445.3831,0,0,0,1,0,0,0,0,0,164.3225806,70.41176471,278.3571429,552,0,0,0,0,0,17,1197,14,3897,29200,26064,3,32,191147.2857,419369.9935,1142189,32480,10000000.0,6235.057402,10000000,10000000,BENIGN
53,91810,2,2,66,332,33,33,33.0,0.0,166,166,166.0,0.0,4335.039756,43.56823875,30603.33333,53003.06412,91806,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,40,21.78411938,21.78411938,33,166,86.2,72.84710015,5306.7,0,0,0,0,0,0,0,0,1,107.75,33.0,166.0,64,0,0,0,0,0,2,66,2,332,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,51439,1,1,49,93,49,49,49.0,0.0,93,93,93.0,0.0,2760.551333,38.88100469,51439.0,0.0,51439,51439,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19.44050234,19.44050234,49,93,63.66666667,25.40341184,645.3333333,0,0,0,0,0,0,0,0,1,95.5,49.0,93.0,32,0,0,0,0,0,1,49,1,93,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
