Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
443,124235,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,96.5911377631,16.0985229605,124235.0,0.0,124235,124235,124235,124235.0,0.0,124235,124235,0,0.0,0.0,0,0,0,0,0,0,40,0,16.0985229605,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,63851,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49669,179,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,67039.1061452514,11173.1843575419,179.0,0.0,179,179,179,179.0,0.0,179,179,0,0.0,0.0,0,0,0,0,0,0,40,0,11173.1843575419,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,4200,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,7415329,14,10,1474,6754,517,0,105.2857142857,179.9240987713,1604,0,675.4,709.5169248627,1109.5933841911,3.2365387969,322405.608695652,1119669.49924515,4999506,1,7415207,570400.538461539,1464653.80338493,4999592,1,7382556,820284.0,1734562.36855013,4999593,4,0,0,0,0,304,208,1.8879809648,1.348557832,0,1604,329.12,538.5325988276,290017.36,0,0,0,1,0,0,0,0,0,342.8333333333,105.2857142857,675.4,304,0,0,0,0,0,14,1474,10,6754,65535,12,13,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,36827,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,2606.7830667717,54.3079805577,36827.0,0.0,36827,36827,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,27.1539902789,27.1539902789,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,286985,10,5,1328,1167,1077,0,132.8,335.2958229517,1029,0,233.4,448.7502646239,8693.8341725177,52.2675401153,20498.9285714286,36202.9253991448,87785,47,286985,31887.2222222222,44756.8774541348,98230,49,191400,47850.0,48035.8379129583,90281,341,0,0,0,0,332,168,34.8450267436,17.4225133718,0,1077,155.9375,353.740859717,125132.595833333,0,0,0,1,0,0,0,0,0,166.3333333333,132.8,233.4,332,0,0,0,0,0,10,1328,5,1167,65535,70,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,66344,4,2,124,162,31,31,31.0,0.0,81,81,81.0,0.0,4310.8645845894,90.4377185578,13268.8,18230.7389921528,35363,3,30977,10325.6666666667,17879.3831362643,30971,3,4,4.0,0.0,4,4,0,0,0,0,80,64,60.2918123719,30.1459061859,31,81,45.2857142857,24.3975018237,595.2380952381,0,0,0,0,0,0,0,0,0,52.8333333333,31.0,81.0,80,0,0,0,0,0,4,124,2,162,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,455578,5,2,316,489,316,0,63.2,141.319496178,489,0,244.5,345.7752160002,1766.9861143427,15.3650966465,75929.6666666667,117140.126516351,227462,60,455578,113894.5,130922.059354666,227641,386,227416,227416.0,0.0,227416,227416,0,0,0,0,172,72,10.9750690332,4.3900276133,0,489,100.625,191.9724217545,36853.4107142857,0,0,0,1,0,0,0,0,0,115.0,63.2,244.5,172,0,0,0,0,0,5,316,2,489,65535,514,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,2793646,7,9,3525,4023,3181,0,503.5714285714,1183.1917084934,1816,0,447.0,697.5320781154,2701.8455452123,5.7272825548,186243.066666667,492827.806124797,1940939,94,852470,142078.333333333,109693.598910176,253903,162,2600425,325053.125,684055.786984708,2000659,228,0,0,0,0,152,188,2.5056861177,3.2215964371,0,3181,444.0,884.3826236421,782132.625,0,0,0,1,0,0,0,0,1,471.75,503.5714285714,447.0,152,0,0,0,0,0,7,3525,9,4023,8192,44,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,328,2,2,82,210,41,41,41.0,0.0,105,105,105.0,0.0,890243.902439024,12195.1219512195,109.3333333333,96.6971216393,192,3,3,3.0,0.0,3,3,192,192.0,0.0,192,192,0,0,0,0,40,40,6097.5609756098,6097.5609756098,41,105,66.6,35.0542436803,1228.8,0,0,0,0,0,0,0,0,1,83.25,41.0,105.0,40,0,0,0,0,0,2,82,2,210,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,65112,3,4,431,2267,431,0,143.6666666667,248.8379660207,2267,0,566.75,1133.5,41436.2943850596,107.50706475,10852.0,14236.278207453,29072,5,35310,17655.0,16293.1544521004,29176,6134,36040,12013.3333333333,20048.6107332487,35158,5,0,0,0,0,104,136,46.0744563214,61.4326084286,0,2267,337.25,794.1886695598,630735.642857143,0,0,0,1,0,0,0,0,1,385.4285714286,143.6666666667,566.75,104,0,0,0,0,0,3,431,4,2267,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,45201864,7,5,31,0,31,0,4.4285714286,11.7168986633,0,0,0.0,0.0,0.6858124258,0.2654757777,4109260.36363636,4897939.7401354,10011379,4,45201864,7533644.0,4204983.07973276,10047915,4,40191646,10047911.5,235.3415956999,10048135,10047684,0,0,0,0,224,160,0.1548608703,0.1106149074,0,31,2.3846153846,8.5978530415,73.9230769231,0,0,0,0,1,0,0,0,0,2.5833333333,4.4285714286,0.0,224,0,0,0,0,0,7,31,5,0,284,380,1,32,36656.25,117.4233792735,36758,36536,10011250.75,124.0278866494,10011379,10011141,BENIGN
443,115274085,20,18,752,4910,311,0,37.6,80.6091283847,1460,0,272.7777777778,515.3657245737,49.1177180023,0.3296491141,3115515.81081081,4610617.09834793,10007768,5,115274085,6067057.10526316,4887165.36851233,10030773,48,110327707,6489865.11764706,4932585.10581842,10031278,48,0,0,0,0,412,504,0.1734995337,0.1561495804,0,1460,145.1794871795,369.3628134899,136428.887989204,0,0,0,1,0,0,0,0,0,149.0,37.6,272.7777777778,412,0,0,0,0,0,20,752,18,4910,8192,980,19,20,28956.8181818182,19090.7976513198,86513,22936,10000789.3636364,5065.605201212,10007768,9993864,BENIGN
53,30859,1,1,57,135,57,57,57.0,0.0,135,135,135.0,0.0,6221.8477591627,64.8109141579,30859.0,0.0,30859,30859,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.405457079,32.405457079,57,135,83.0,45.0333209968,2028.0,0,0,0,0,0,0,0,0,1,124.5,57.0,135.0,20,0,0,0,0,0,1,57,1,135,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,192,3,2,116,37,64,6,38.6666666667,29.6872587709,31,6,18.5,17.6776695297,796875.0,26041.6666666667,48.0,51.1533641774,108,3,184,92.0,22.627416998,108,76,189,189.0,0.0,189,189,1,0,0,0,60,40,15625.0,10416.6666666667,6,64,36.1666666667,26.4304117763,698.5666666667,0,1,0,0,1,0,0,0,0,43.4,38.6666666667,18.5,60,0,0,0,0,0,3,116,2,37,292,292,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
