Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
123,68023785,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.8225421446,0.0588029613,22674595.0,39232586.7134287,67976484,23629,68000113,68000113.0,0.0,68000113,68000113,68000156,68000156.0,0.0,68000156,68000156,0,0,0,0,52,52,0.0294014807,0.0294014807,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,0,0,0,0,0,2,96,2,96,-1,-1,1,20,23629.0,0.0,23629,23629,67976484.0,0.0,67976484,67976484,BENIGN
123,69023887,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,9.7357600275,0.2028283339,5309529.76923077,16152451.7219145,58972639,23631,68999868,11499978.0,23270106.0162599,58999883,1999896,69000072,11500012.0,23268509.485989,58996658,1999817,0,0,0,0,200,200,0.101414167,0.101414167,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,51.4285714286,48.0,48.0,200,0,0,0,0,0,7,336,7,336,-1,-1,6,20,10027229.0,0.0,10027229,10027229,58972639.0,0.0,58972639,58972639,BENIGN
1103,215,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,55813.9534883721,9302.3255813954,215.0,0.0,215,215,215,215.0,0.0,215,215,0,0.0,0.0,0,0,0,0,0,0,40,0,9302.3255813954,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
138,19,11,0,2376,0,216,216,216.0,0.0,0,0,0.0,0.0,125052631.578947,578947.368421053,1.9,1.5238839268,6,1,19,1.9,1.5238839268,6,1,0,0.0,0.0,0,0,0,0,0,0,352,0,578947.368421053,0.0,216,216,216.0,0.0,0.0,0,0,0,0,0,0,0,0,0,235.6363636364,216.0,0.0,352,0,0,0,0,0,11,2376,0,0,-1,-1,10,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,697965,8,11,2165,6563,1824,0,270.625,631.7293583037,1460,0,596.6363636364,696.5173756235,12504.9250320575,27.2219953723,38775.8333333333,115645.024841615,497291,2,673223,96174.7142857143,179032.000989315,497291,235,674151,67415.1,182790.706275693,585205,2,0,0,0,0,172,232,11.4618927883,15.7601025839,0,1824,436.4,662.4383506569,438824.568421053,0,0,0,1,0,0,0,0,1,459.3684210526,270.625,596.6363636364,172,0,0,0,0,0,8,2165,11,6563,8192,67,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49758,4,2,0,43,0,37,6,21.5,21.9203102168,0,0,0.0,0.0,10750000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,6,37,16.3333333333,17.8978583449,320.3333333333,0,0,0,0,1,0,0,0,0,24.5,21.5,0.0,40,0,0,0,0,0,2,43,0,0,40958,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49819,4,3,0,43,0,31,6,14.3333333333,14.4337567297,0,0,0.0,0.0,10750000.0,750000.0,2.0,1.4142135624,3,1,4,2.0,1.4142135624,3,1,0,0.0,0.0,0,0,0,0,0,0,60,0,750000.0,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.3333333333,14.3333333333,0.0,60,0,0,0,0,0,3,43,0,0,110,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,76,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,157894.736842105,26315.7894736842,76.0,0.0,76,76,76,76.0,0.0,76,76,0,0.0,0.0,0,0,0,0,0,0,40,0,26315.7894736842,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,760,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,116091664,16,14,439,796,439,0,27.4375,109.75,796,0,56.8571428571,212.7399485623,10.6381453883,0.2584164872,4003160.82758621,4972493.8780504,10216518,47,116091664,7739444.26666667,4338919.1014768,10240041,23727,112527033,8655925.61538461,3827515.07580733,10240494,756,0,0,0,0,520,456,0.1378221265,0.1205943607,0,796,39.8387096774,160.9488732019,25904.5397849462,0,0,0,1,0,0,0,0,0,41.1666666667,27.4375,56.8571428571,520,0,0,0,0,0,16,439,14,796,29200,285,1,32,29557.7272727273,19619.8480426883,88710,23487,10200163.1818182,53746.7421223239,10216518,10038112,BENIGN
443,205,2,2,70,37,64,6,35.0,41.0121933088,31,6,18.5,17.6776695297,521951.219512195,19512.1951219512,68.3333333333,71.28347167,143,1,61,61.0,0.0,61,61,1,1.0,0.0,1,1,1,0,0,0,40,40,9756.0975609756,9756.0975609756,6,64,34.2,29.0551200307,844.2,0,1,0,0,1,0,0,0,1,42.75,35.0,18.5,40,0,0,0,0,0,2,70,2,37,292,292,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,69088521,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.7790434246,0.057896738,23029507.0,39734845.9407021,68911355,88483,69000038,69000038.0,0.0,69000038,69000038,68999838,68999838.0,0.0,68999838,68999838,0,0,0,0,64,64,0.028948369,0.028948369,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,64,0,0,0,0,0,2,96,2,96,-1,-1,1,32,88683.0,0.0,88683,88683,68911355.0,0.0,68911355,68911355,BENIGN
