Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
49222,81,1,3,6,18,6,6,6.0,0.0,6,6,6.0,0.0,296296.296296296,49382.7160493827,27.0,24.248711306,49,1,0,0.0,0.0,0,0,50,25.0,33.941125497,49,1,0,0,0,0,20,60,12345.6790123457,37037.037037037,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,3,7.5,6.0,6.0,20,0,0,0,0,0,1,6,3,18,229,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,10370698,4,6,273,3923,261,0,68.25,128.5311246352,1460,0,653.8333333333,732.1700394489,404.6015031968,0.9642552507,1152299.77777778,3318549.50236062,9999461,48,371237,123745.666666667,93358.4948268412,177912,15945,10193422,2038684.4,4451038.49788522,9999539,48,0,0,0,0,92,132,0.3857021003,0.5785531504,0,1460,381.4545454545,609.3408510245,371296.272727273,0,0,0,1,0,0,0,0,1,419.6,68.25,653.8333333333,92,0,0,0,0,0,4,273,6,3923,8192,123,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,709865,10,12,769,18741,403,0,76.9,133.7414171701,2920,0,1561.75,1077.2605091367,27484.0990892635,30.9918083016,33803.0952380952,68232.7695091624,172556,26,709644,78849.3333333333,92955.0845193527,187183,162,539898,49081.6363636364,82468.6092295399,188540,48,0,0,0,0,212,252,14.0871855916,16.90462271,0,2920,848.2608695652,1080.9233518109,1168395.29249012,0,0,0,1,0,0,0,0,1,886.8181818182,76.9,1561.75,212,0,0,0,0,0,10,769,12,18741,8192,131,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,68022478,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.8225963776,0.0588040912,22674159.3333333,39234321.9397947,67978052,22109,68000161,68000161.0,0.0,68000161,68000161,68000369,68000369.0,0.0,68000369,68000369,0,0,0,0,52,52,0.0294020456,0.0294020456,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,0,0,0,0,0,2,96,2,96,-1,-1,1,20,22109.0,0.0,22109,22109,67978052.0,0.0,67978052,67978052,BENIGN
80,5538543,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.1666347991,0.7222115997,1846181.0,2970135.49215048,5272355,39,5538543,2769271.5,3539894.63345231,5272355,266188,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5416586998,0.1805528999,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,3,12,1,0,8192,14600,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50278,1,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,37000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,119,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,51836548,9,9,432,1773,432,0,48.0,144.0,1773,0,197.0,591.0,42.537554777,0.3472453451,3049208.70588235,4747636.31426692,10217068,31,51079457,6384932.125,5263176.9137927,10240047,23367,51813212,6476651.5,5147482.39040338,10240200,966,0,0,0,0,296,296,0.1736226726,0.1736226726,0,1773,116.0526315789,413.2699512807,170792.052631579,0,0,0,1,0,0,0,0,1,122.5,48.0,197.0,296,0,0,0,0,0,9,432,9,1773,29200,939,1,32,36212.2,29432.8180217253,88863,22946,10179679.2,83376.9831170451,10217068,10030530,BENIGN
53,30944,1,1,54,110,54,54,54.0,0.0,110,110,110.0,0.0,5299.8965873837,64.632885212,30944.0,0.0,30944,30944,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.316442606,32.316442606,54,110,72.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,0,1,109.0,54.0,110.0,20,0,0,0,0,0,1,54,1,110,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,66078617,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.9056298197,0.0605339546,22026205.6666667,38014999.4542597,65922146,77792,65999938,65999938.0,0.0,65999938,65999938,66000825,66000825.0,0.0,66000825,66000825,0,0,0,0,40,40,0.0302669773,0.0302669773,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,2,96,2,96,-1,-1,1,20,77792.0,0.0,77792,77792,65922146.0,0.0,65922146,65922146,BENIGN
53,51643,1,1,39,90,39,39,39.0,0.0,90,90,90.0,0.0,2497.9184013322,38.7274170749,51643.0,0.0,51643,51643,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19.3637085375,19.3637085375,39,90,56.0,29.4448637287,867.0,0,0,0,0,0,0,0,0,1,84.0,39.0,90.0,20,0,0,0,0,0,1,39,1,90,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,11777319,9,7,642,3819,318,0,71.3333333333,117.4776574503,1462,0,545.5714285714,658.6015125863,378.7789054538,1.3585434852,785154.6,2574390.56905091,10000483,3,1776833,222104.125,482533.227564231,1406263,231,11748581,1958096.83333333,3980925.25996957,10000540,3,0,0,0,0,296,232,0.7641807104,0.5943627748,0,1462,262.4117647059,479.039280595,229478.632352941,0,0,0,1,0,0,0,0,0,278.8125,71.3333333333,545.5714285714,296,0,0,0,0,0,9,642,7,3819,29200,122,3,32,1776833.0,0.0,1776833,1776833,10000483.0,0.0,10000483,10000483,BENIGN
443,14684356,13,11,3409,5969,1139,0,262.2307692308,446.4618598578,1448,0,542.6363636364,583.2274466668,638.6388344167,1.6343924105,638450.260869565,2121593.31363807,10000991,3,4683362,390280.166666667,771852.505975053,2655660,215,14655913,1465591.3,3112513.02587097,10001050,3,0,0,0,0,424,360,0.885295889,0.7490965215,0,1448,375.12,516.7424664827,267022.776666667,0,0,0,1,0,0,0,0,0,390.75,262.2307692308,542.6363636364,424,0,0,0,0,0,13,3409,11,5969,29200,22,5,32,4683362.0,0.0,4683362,4683362,10000991.0,0.0,10000991,10000991,BENIGN
443,112766665,24,17,4096,17018,512,0,170.6666666667,246.5502271197,2386,0,1001.0588235294,963.3816397584,187.2361836718,0.3635826244,2819166.625,4037094.22953643,10230922,46,112766665,4902898.47826087,4285709.78004768,10230922,44306,112722022,7045126.375,3559923.81195334,11266522,46,1,0,0,0,768,544,0.2128288533,0.1507537711,0,2386,514.9047619048,750.766301514,563650.039488967,0,1,0,0,1,0,0,0,0,527.4634146341,170.6666666667,1001.0588235294,768,0,0,0,0,0,24,4096,17,17018,1324,422,7,32,117149.928571429,272964.232079946,1065457,40927,7934407.5,2338472.23081572,10230922,5021225,BENIGN
443,150563,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,79.70085612,13.28347602,150563.0,0.0,150563,150563,150563,150563.0,0.0,150563,150563,0,0.0,0.0,0,0,0,0,0,0,40,0,13.28347602,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,63606,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,26704,1,1,50,178,50,50,50.0,0.0,178,178,178.0,0.0,8538.0467345716,74.8951467945,26704.0,0.0,26704,26704,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,37.4475733972,37.4475733972,50,178,92.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,139.0,50.0,178.0,20,0,0,0,0,0,1,50,1,178,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
